rank,trigram,count,share,hand_pattern,finger_pattern,row_pattern,row_changes,same_finger_transition_count,same_finger_travel_total,repeated_key_transition_count,separated_finger_reuse,same_finger_reversal,three_finger_same_hand_shape,alternating_hands,home_reach_sum,home_reach_max,tags,top_words
12,tha,9447439870,0.004502809496258526,LRL,L-index → R-index → L-pinky,0 → 1 → 1,1,0,0.0,0,False,False,,True,2.25,1.25,"alternating_hands,one_row_change","that, than, thank, thanks, jonathan, martha, thailand, thai, nathan, thanked"
13,ere,8939106849,0.004260529388026349,LLL,L-middle → L-index → L-middle,0 → 0 → 0,0,0,0.0,0,True,False,,False,3.0923,1.0308,"separated_finger_reuse,no_row_change","were, there, where, here, different, therefore, interest, considered, difference, reference"
14,ate,8757480213,0.00417396306396312,LLL,L-pinky → L-index → L-middle,1 → 0 → 0,1,0,0.0,0,False,False,redirect,False,2.2808,1.25,"redirect,one_row_change","state, states, water, later, rate, greater, material, private, late, related"
15,his,8073090301,0.003847771266258972,RRL,R-index → R-middle → L-ring,1 → 0 → 1,2,0,0.0,0,False,False,,False,2.0308,1.0308,two_row_changes,"this, his, history, historical, historic, historian, historians, sophisticated, whispered, histories"
16,con,8068814778,0.0038457334797442357,LRR,L-middle → R-ring → R-index,2 → 0 → 2,2,0,0.0,0,False,False,,False,3.2668,1.118,two_row_changes,"second, control, economic, conditions, considered, continued, condition, consider, congress, concerned"
17,res,7496974307,0.003573184647616686,LLL,L-index → L-middle → L-ring,0 → 0 → 1,1,0,0.0,0,False,False,outward_roll,False,2.0616,1.0308,"outward_roll,one_row_change","present, interest, press, research, result, results, president, pressure, rest, respect"
18,ver,7415630371,0.0035344147530712924,LLL,L-index → L-middle → L-index,2 → 0 → 0,1,0,0.0,0,True,False,,False,3.1796,1.118,"separated_finger_reuse,one_row_change","very, over, however, every, government, never, university, several, ever, river"
19,all,7317964040,0.003487865329233411,LRR,L-pinky → R-ring → R-ring,1 → 1 → 1,0,0,0.0,1,False,False,,False,0.0,0.0,"repeat_key_x1,no_row_change","all, small, shall, called, usually, especially, really, generally, call, finally"
20,ons,7187472617,0.0034256709118303938,RRL,R-ring → R-index → L-ring,0 → 2 → 1,2,0,0.0,0,False,False,,False,2.1488,1.118,two_row_changes,"conditions, considered, questions, persons, relationship, relations, response, consider, constant, considerable"
21,nce,6936472580,0.003306040052495288,RLL,R-index → L-middle → L-middle,2 → 2 → 0,1,1,2.136,0,False,False,,False,3.2668,1.118,"same_finger_x1,one_row_change","since, once, experience, evidence, science, influence, france, difference, importance, performance"
22,men,6889167446,0.0032834936262117636,RLR,R-index → L-middle → R-index,2 → 0 → 2,2,0,0.0,0,True,False,,True,3.2668,1.118,"separated_finger_reuse,alternating_hands,two_row_changes","men, government, women, development, treatment, management, moment, movement, department, elements"
23,ith,6795041998,0.0032386318470497876,RLR,R-middle → L-index → R-index,0 → 0 → 1,1,0,0.0,0,False,False,,True,3.2808,1.25,"alternating_hands,one_row_change","with, without, within, either, neither, faith, smith, faithful, notwithstanding, hitherto"
24,ted,6610757134,0.0031507985665998207,LLL,L-index → L-middle → L-middle,0 → 0 → 1,1,1,1.0308,0,False,False,,False,2.2808,1.25,"same_finger_x1,one_row_change","united, related, wanted, associated, limited, expected, presented, reported, created, started"
25,ers,6524449179,0.003109662736711056,LLL,L-middle → L-index → L-ring,0 → 0 → 1,1,0,0.0,0,False,False,redirect,False,2.0616,1.0308,"redirect,one_row_change","others, university, person, members, personal, persons, understand, workers, understanding, letters"
26,pro,6441091673,0.003069933140675932,RLR,R-pinky → L-index → R-ring,0 → 0 → 0,0,0,0.0,0,False,False,,True,3.0923,1.0308,"alternating_hands,no_row_change","process, problem, problems, production, probably, program, property, provide, provided, approach"
27,thi,6357454845,0.0030300704150552876,LRR,L-index → R-index → R-middle,0 → 1 → 0,2,0,0.0,0,False,False,,False,3.2808,1.25,two_row_changes,"this, within, think, things, nothing, something, thing, third, anything, everything"
28,wit,6270098257,0.00298843478895766,LRL,L-ring → R-middle → L-index,0 → 0 → 0,0,0,0.0,0,False,False,,True,3.3116,1.25,"alternating_hands,no_row_change","with, without, within, witness, notwithstanding, witnesses, switch, withdrawal, wit, switzerland"
29,are,6050931663,0.002883976286516211,LLL,L-pinky → L-index → L-middle,1 → 0 → 0,1,0,0.0,0,False,False,redirect,False,2.0616,1.0308,"redirect,one_row_change","are, area, care, areas, parents, appeared, share, prepared, compared, square"
30,ess,5961685248,0.0028414399369338103,LLL,L-middle → L-ring → L-ring,0 → 1 → 1,1,0,0.0,1,False,False,,False,1.0308,1.0308,"repeat_key_x1,one_row_change","less, process, business, press, necessary, pressure, success, congress, expression, unless"
31,not,5871622477,0.002798514498286043,RRL,R-index → R-ring → L-index,2 → 0 → 0,1,0,0.0,0,False,False,,False,3.3988,1.25,one_row_change,"not, another, nothing, note, notes, noted, notice, notion, noticed, notwithstanding"
32,ive,5738676234,0.0027351500721865206,RLL,R-middle → L-index → L-middle,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.1796,1.118,two_row_changes,"given, give, university, five, received, river, live, effective, gives, positive"
33,was,5723542738,0.00272793719224888,LLL,L-ring → L-pinky → L-ring,0 → 1 → 1,1,0,0.0,0,True,False,,False,1.0308,1.0308,"separated_finger_reuse,one_row_change","was, washington, waste, wash, washed, washing, wasted, wastes, wasting, wastewater"
34,ect,5633214660,0.0026848853038014355,LLL,L-middle → L-middle → L-index,0 → 2 → 0,2,1,2.136,0,False,False,,False,3.3988,1.25,"same_finger_x1,two_row_changes","effect, subject, section, effects, object, respect, direct, direction, expected, project"
35,rea,5614636634,0.0026760307026559784,LLL,L-index → L-middle → L-pinky,0 → 0 → 1,1,0,0.0,0,False,False,outward_roll,False,2.0616,1.0308,"outward_roll,one_row_change","great, area, already, real, reason, greater, read, really, increase, treatment"
36,com,5512716986,0.002627454076058224,LRR,L-middle → R-ring → R-index,2 → 0 → 2,2,0,0.0,0,False,False,,False,3.2668,1.118,two_row_changes,"come, become, common, company, community, complete, committee, income, becomes, coming"
37,eve,5367611215,0.002558294213427554,LLL,L-middle → L-index → L-middle,0 → 2 → 0,2,0,0.0,0,True,False,,False,3.1796,1.118,"separated_finger_reuse,two_row_changes","even, however, every, never, development, several, level, ever, believe, developed"
38,per,5340402298,0.0025453259837763067,RLL,R-pinky → L-middle → L-index,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"per, period, person, perhaps, experience, personal, property, paper, percent, persons"
39,int,5272125236,0.0025127839821990866,RRL,R-middle → R-index → L-index,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.3988,1.25,two_row_changes,"into, point, interest, international, points, interests, introduction, internal, interesting, introduced"
40,est,5093021295,0.002427420017204396,LLL,L-middle → L-ring → L-index,0 → 1 → 0,2,0,0.0,0,False,False,redirect,False,2.2808,1.25,"redirect,two_row_changes","best, question, interest, west, test, questions, established, rest, western, interests"
41,sta,5003705570,0.002384850633304711,LLL,L-ring → L-index → L-pinky,1 → 0 → 1,2,0,0.0,0,False,False,redirect,False,1.25,1.25,"redirect,two_row_changes","state, states, established, standard, understand, stage, understanding, distance, statement, instance"
42,cti,4965296625,0.002366544281037103,LLR,L-middle → L-index → R-middle,2 → 0 → 0,1,0,0.0,0,False,False,,False,3.3988,1.25,one_row_change,"action, section, production, function, practice, activity, activities, direction, effective, active"
43,ica,4851083411,0.002312108333132265,RLL,R-middle → L-middle → L-pinky,0 → 2 → 1,2,0,0.0,0,False,False,,False,2.1488,1.118,two_row_changes,"american, political, america, physical, significant, application, medical, historical, critical, communication"
44,ist,4696789776,0.002238569379251604,RLL,R-middle → L-ring → L-index,0 → 1 → 0,2,0,0.0,0,False,False,,False,2.2808,1.25,two_row_changes,"history, christian, distribution, list, christ, distance, administration, historical, existence, minister"
45,ear,4565761282,0.002176118984733914,LLL,L-middle → L-pinky → L-index,0 → 1 → 0,2,0,0.0,0,False,False,redirect,False,2.0616,1.0308,"redirect,two_row_changes","years, year, early, research, heart, clear, near, earth, heard, appear"
46,ain,4507928531,0.0021485549182798393,LRR,L-pinky → R-middle → R-index,1 → 0 → 2,2,0,0.0,0,False,False,,False,2.1488,1.118,two_row_changes,"against, again, certain, main, obtained, training, certainly, remain, remained, pain"
47,one,4425109105,0.002109081780265839,RRL,R-ring → R-index → L-middle,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.1796,1.118,two_row_changes,"one, done, money, alone, mentioned, gone, none, someone, ones, stone"
48,our,4406006814,0.0020999773055617207,RRL,R-ring → R-index → L-index,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"our, your, course, four, court, source, hours, journal, resources, hour"
49,iti,4405426644,0.002099700786735309,RLR,R-middle → L-index → R-middle,0 → 0 → 0,0,0,0.0,0,True,False,,True,3.3116,1.25,"separated_finger_reuse,alternating_hands,no_row_change","political, position, conditions, british, condition, addition, activities, writing, positive, additional"
50,rat,4343095846,0.002069992875067619,LLL,L-index → L-pinky → L-index,0 → 1 → 0,2,0,0.0,0,True,False,,False,2.2808,1.25,"separated_finger_reuse,two_row_changes","rather, rate, temperature, operation, literature, administration, rates, separate, operations, consideration"
51,nte,4326059573,0.002061873099456361,RLL,R-index → L-index → L-middle,2 → 0 → 0,1,0,0.0,0,False,False,,False,3.3988,1.25,one_row_change,"interest, international, wanted, center, presented, interests, content, internal, interesting, context"
52,tin,4314722175,0.0020564695039765562,LRR,L-index → R-middle → R-index,0 → 0 → 2,1,0,0.0,0,False,False,,False,3.3988,1.25,one_row_change,"continued, writing, meeting, getting, continue, interesting, existing, setting, latin, operating"
53,ine,4289473708,0.0020444356579253538,RRL,R-middle → R-index → L-middle,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.1796,1.118,two_row_changes,"line, business, lines, obtained, determined, fine, defined, remained, chinese, determine"
54,der,4270017146,0.0020351623316757377,LLL,L-middle → L-middle → L-index,1 → 0 → 0,1,1,1.0308,0,False,False,,False,2.0616,1.0308,"same_finger_x1,one_row_change","under, order, considered, modern, understand, consider, understanding, federal, considerable, der"
55,ome,4215212970,0.0020090417352471705,RRL,R-ring → R-index → L-middle,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.1796,1.118,two_row_changes,"some, come, women, home, become, something, sometimes, moment, income, becomes"
56,man,4170329466,0.0019876494987452666,RLR,R-index → L-pinky → R-index,2 → 1 → 2,2,0,0.0,0,True,False,,True,2.2361,1.118,"separated_finger_reuse,alternating_hands,two_row_changes","many, man, human, woman, management, manner, german, performance, demand, germany"
57,pre,4165466522,0.0019853317374549824,RLL,R-pinky → L-index → L-middle,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"present, press, president, pressure, presence, presented, expression, previous, prepared, expressed"
58,rom,4120910706,0.001964095682591545,LRR,L-index → R-ring → R-index,0 → 0 → 2,1,0,0.0,0,False,False,,False,3.1796,1.118,one_row_change,"from, roman, rome, promise, promised, prominent, promote, syndrome, promotion, romantic"
59,tra,4103386993,0.001955743584838939,LLL,L-index → L-index → L-pinky,0 → 0 → 1,1,1,1.0,0,False,False,,False,2.2808,1.25,"same_finger_x1,one_row_change","trade, central, training, administration, traditional, contract, contrast, tradition, transfer, concentration"
60,whi,4056368486,0.0019333337698273828,LRR,L-ring → R-index → R-middle,0 → 1 → 0,2,0,0.0,0,False,False,,False,3.0616,1.0308,two_row_changes,"which, while, white, whilst, meanwhile, whites, whispered, whisper, whip, worthwhile"
61,ave,4051571914,0.0019310476425539326,LLL,L-pinky → L-index → L-middle,1 → 2 → 0,2,0,0.0,0,False,False,redirect,False,2.1488,1.118,"redirect,two_row_changes","have, gave, leave, average, leaves, save, heaven, wave, travel, slave"
62,str,4004702365,0.0019087088234424484,LLL,L-ring → L-index → L-index,1 → 0 → 0,1,1,1.0,0,False,False,,False,2.2808,1.25,"same_finger_x1,one_row_change","structure, strong, industry, street, distribution, administration, strength, industrial, construction, district"
63,act,3996307044,0.0019047074715796036,LLL,L-pinky → L-middle → L-index,1 → 2 → 0,2,0,0.0,0,False,False,inward_roll,False,2.368,1.25,"inward_roll,two_row_changes","fact, act, action, character, practice, activity, activities, factors, actually, active"
64,ill,3995118251,0.0019041408727461478,RRR,R-middle → R-ring → R-ring,0 → 1 → 1,1,0,0.0,1,False,False,,False,1.0308,1.0308,"repeat_key_x1,one_row_change","will, still, william, million, bill, village, till, hill, filled, ill"
65,ure,3944467758,0.0018799999918293184,RLL,R-index → L-index → L-middle,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"figure, nature, future, structure, pressure, sure, culture, temperature, literature, measure"
66,ide,3916831962,0.0018668283044327555,RLL,R-middle → L-middle → L-middle,0 → 1 → 0,2,1,1.0308,0,False,False,,False,2.0616,1.0308,"same_finger_x1,two_row_changes","side, evidence, considered, idea, president, provide, provided, outside, consider, ideas"
67,ove,3916118810,0.0018664884041378542,RLL,R-ring → L-index → L-middle,0 → 2 → 0,2,0,0.0,0,False,False,,False,3.1796,1.118,two_row_changes,"over, government, above, love, movement, move, moved, covered, november, cover"
68,cal,3912525152,0.0018647756060050935,LLR,L-middle → L-pinky → R-ring,2 → 1 → 1,1,0,0.0,0,False,False,,False,1.118,1.118,one_row_change,"called, political, local, call, physical, medical, historical, scale, critical, practical"
69,ble,3874673895,0.0018467350572627683,LRL,L-index → R-ring → L-middle,2 → 1 → 0,2,0,0.0,0,False,False,,True,2.8336,1.8028,"alternating_hands,two_row_changes","possible, table, problem, able, problems, available, considerable, impossible, double, responsible"
70,out,3862229953,0.00184080406421285,RRL,R-ring → R-index → L-index,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.3116,1.25,no_row_change,"about, out, without, south, outside, throughout, southern, output, mouth, youth"
71,sti,3838372232,0.0018294330712077486,LLR,L-ring → L-index → R-middle,1 → 0 → 0,1,0,0.0,0,False,False,,False,2.2808,1.25,one_row_change,"still, question, questions, christian, justice, interesting, institutions, constitution, characteristics, existing"
72,tic,3827724881,0.0018243583637893887,LRL,L-index → R-middle → L-middle,0 → 0 → 2,1,0,0.0,0,False,False,,True,3.3988,1.25,"alternating_hands,one_row_change","political, particular, practice, particularly, justice, article, critical, politics, practical, notice"
73,oun,3822970506,0.0018220923483192343,RRR,R-ring → R-index → R-index,0 → 0 → 2,1,1,2.0156,0,False,False,,False,3.1796,1.118,"same_finger_x1,one_row_change","found, country, young, around, account, amount, countries, ground, council, sound"
74,enc,3804294828,0.0018131912045803362,LRL,L-middle → R-index → L-middle,0 → 2 → 2,1,0,0.0,0,True,False,,True,3.2668,1.118,"separated_finger_reuse,alternating_hands,one_row_change","experience, evidence, french, science, influence, difference, presence, existence, reference, differences"
75,ore,3797463503,0.0018099352796413794,RLL,R-ring → L-index → L-middle,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"more, before, therefore, foreign, moreover, forest, store, theoretical, core, furthermore"
76,ant,3755591976,0.00178997860227769,LRL,L-pinky → R-index → L-index,1 → 2 → 0,2,0,0.0,0,False,False,,True,2.368,1.25,"alternating_hands,two_row_changes","important, want, wanted, significant, plant, constant, plants, advantage, meant, anti"
77,ity,3740314311,0.0017826970089583078,RLR,R-middle → L-index → R-index,0 → 0 → 0,0,0,0.0,0,False,False,,True,3.8816,1.6008,"alternating_hands,no_row_change","university, city, community, activity, authority, quality, security, ability, opportunity, reality"
78,fro,3734044758,0.0017797088340480507,LLR,L-index → L-index → R-ring,1 → 0 → 0,1,1,1.0308,0,False,False,,False,2.0616,1.0308,"same_finger_x1,one_row_change","from, front, frontier, frozen, confronted, frost, confrontation, frontal, confront, frontiers"
79,art,3726591176,0.0017761563309072457,LLL,L-pinky → L-index → L-index,1 → 0 → 0,1,1,1.0,0,False,False,,False,2.2808,1.25,"same_finger_x1,one_row_change","part, party, particular, art, heart, parts, particularly, earth, department, article"
80,tur,3716216523,0.0017712115959640652,LRL,L-index → R-index → L-index,0 → 0 → 0,0,0,0.0,0,True,False,,True,3.3116,1.25,"separated_finger_reuse,alternating_hands,no_row_change","nature, century, natural, future, structure, return, turn, turned, culture, temperature"
81,par,3691428919,0.001759397405006881,RLL,R-pinky → L-pinky → L-index,0 → 1 → 0,2,0,0.0,0,False,False,,False,2.0616,1.0308,two_row_changes,"part, party, particular, parts, particularly, department, parents, paris, parties, separate"
82,red,3671917165,0.0017500977733173636,LLL,L-index → L-middle → L-middle,0 → 0 → 1,1,1,1.0308,0,False,False,,False,2.0616,1.0308,"same_finger_x1,one_row_change","required, considered, red, hundred, appeared, prepared, reduced, compared, offered, covered"
83,oth,3662729446,0.0017457187511768233,RLR,R-ring → L-index → R-index,0 → 0 → 1,1,0,0.0,0,False,False,,True,3.2808,1.25,"alternating_hands,one_row_change","other, both, another, others, nothing, mother, brother, otherwise, brothers, clothes"
84,eri,3634984261,0.0017324949271342734,LLR,L-middle → L-index → R-middle,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.0923,1.0308,no_row_change,"american, period, experience, material, america, series, materials, serious, characteristics, americans"
85,hic,3617867236,0.0017243366637551708,RRL,R-index → R-middle → L-middle,1 → 0 → 2,2,0,0.0,0,False,False,,False,3.1488,1.118,two_row_changes,"which, chicago, thick, philosophical, vehicle, ethical, ethics, thickness, geographical, vehicles"
86,ies,3606387088,0.0017188650312130044,RLL,R-middle → L-middle → L-ring,0 → 0 → 1,1,0,0.0,0,False,False,,False,2.0616,1.0308,one_row_change,"studies, countries, series, activities, species, parties, companies, families, properties, cities"
87,ste,3592565889,0.0017122776142023386,LLL,L-ring → L-index → L-middle,1 → 0 → 0,1,0,0.0,0,False,False,redirect,False,2.2808,1.25,"redirect,one_row_change","system, systems, instead, western, step, existence, master, minister, suggested, steps"
88,ght,3589011577,0.001710583569038094,LRL,L-index → R-index → L-index,1 → 1 → 0,1,0,0.0,0,True,False,,True,3.25,1.25,"separated_finger_reuse,alternating_hands,one_row_change","might, right, thought, light, night, brought, rights, weight, eight, daughter"
89,ich,3577428959,0.0017050630975622661,RLR,R-middle → L-middle → R-index,0 → 2 → 1,2,0,0.0,0,False,False,,True,3.1488,1.118,"alternating_hands,two_row_changes","which, rich, richard, michael, michigan, nicholas, richmond, richardson, munich, riches"
90,igh,3553478573,0.0016936479388522,RLR,R-middle → L-index → R-index,0 → 1 → 1,1,0,0.0,0,False,False,,True,3.0308,1.0308,"alternating_hands,one_row_change","might, right, high, light, night, higher, rights, weight, eight, highly"
91,und,3541129200,0.0016877620189858224,RRL,R-index → R-index → L-middle,0 → 2 → 1,2,1,2.0156,0,False,False,,False,2.1488,1.118,"same_finger_x1,two_row_changes","under, found, around, ground, hundred, understand, understanding, sound, round, understood"
92,you,3526888940,0.0016809748704207594,RRR,R-index → R-ring → R-index,0 → 0 → 0,0,0,0.0,0,True,False,,False,3.6623,1.6008,"separated_finger_reuse,no_row_change","you, your, young, yourself, youth, younger, yours, layout, youngest, youthful"
93,ort,3525114055,0.0016801289302356152,RLL,R-ring → L-index → L-index,0 → 0 → 0,0,1,1.0,0,False,False,,False,3.3116,1.25,"same_finger_x1,no_row_change","important, support, north, short, report, importance, reported, sort, effort, opportunity"
94,era,3467154217,0.0016525042919696713,LLL,L-middle → L-index → L-pinky,0 → 0 → 1,1,0,0.0,0,False,False,redirect,False,2.0616,1.0308,"redirect,one_row_change","general, several, generally, average, temperature, federal, operation, literature, considerable, operations"
95,wer,3454801393,0.0016466167272983748,LLL,L-ring → L-middle → L-index,0 → 0 → 0,0,0,0.0,0,False,False,inward_roll,False,3.0923,1.0308,"inward_roll,no_row_change","were, power, lower, answer, powers, powerful, answered, flowers, answers, tower"
96,nti,3452787542,0.0016456568918792954,RLR,R-index → L-index → R-middle,2 → 0 → 0,1,0,0.0,0,False,False,,True,3.3988,1.25,"alternating_hands,one_row_change","until, attention, continued, potential, entire, mentioned, essential, continue, scientific, entirely"
97,oul,3393996042,0.0016176358694497254,RRR,R-ring → R-index → R-ring,0 → 0 → 1,1,0,0.0,0,True,False,,False,2.0616,1.0308,"separated_finger_reuse,one_row_change","would, could, should, soul, shoulder, shoulders, souls, foul, poultry, mould"
98,nde,3371859569,0.0016070852523291455,RLL,R-index → L-middle → L-middle,2 → 1 → 0,2,1,1.0308,0,False,False,,False,2.1488,1.118,"same_finger_x1,two_row_changes","under, indeed, understand, understanding, independent, intended, understood, index, extended, dependent"
99,ind,3370038532,0.0016062173153208693,RRL,R-middle → R-index → L-middle,0 → 2 → 1,2,0,0.0,0,False,False,,False,2.1488,1.118,two_row_changes,"find, mind, individual, kind, indeed, behind, industry, india, indian, individuals"
100,tho,3369505315,0.0016059631750877262,LRR,L-index → R-index → R-ring,0 → 1 → 0,2,0,0.0,0,False,False,,False,3.2808,1.25,two_row_changes,"those, without, though, thought, although, method, authority, methods, author, thomas"
101,hou,3342574324,0.0015931274096648072,RRR,R-index → R-ring → R-index,1 → 0 → 0,1,0,0.0,0,True,False,,False,3.0616,1.0308,"separated_finger_reuse,one_row_change","should, without, house, though, thought, although, hours, throughout, hour, thousand"
102,nal,3328174739,0.0015862643241122782,RLR,R-index → L-pinky → R-ring,2 → 1 → 1,1,0,0.0,0,False,False,,True,1.118,1.118,"alternating_hands,one_row_change","national, analysis, international, personal, finally, original, journal, final, additional, internal"
103,but,3288060978,0.0015671454277290358,LRL,L-index → R-index → L-index,2 → 0 → 0,1,0,0.0,0,True,False,,True,4.0836,1.8028,"separated_finger_reuse,alternating_hands,one_row_change","but, distribution, contribution, distributed, contributions, contribute, contributed, attributed, attributes, button"
104,hav,3269289459,0.001558198604549901,RLL,R-index → L-pinky → L-index,1 → 1 → 2,1,0,0.0,0,False,False,,False,2.118,1.118,one_row_change,"have, having, behavior, behaviour, behavioral, behaviors, haven, behave, behaved, havana"
105,uld,3260062247,0.0015538007593781603,RRL,R-index → R-ring → L-middle,0 → 1 → 1,1,0,0.0,0,False,False,,False,1.0308,1.0308,one_row_change,"would, could, should, shoulder, shoulders, mould, boulder, gould, boulders, moulded"
106,use,3249161948,0.0015486054926683805,RLL,R-index → L-ring → L-middle,0 → 1 → 0,2,0,0.0,0,False,False,,False,2.0616,1.0308,two_row_changes,"because, use, used, house, cause, useful, caused, causes, houses, uses"
107,han,3236577761,0.0015426076564814333,RLR,R-index → L-pinky → R-index,1 → 1 → 2,1,0,0.0,0,True,False,,True,2.118,1.118,"separated_finger_reuse,alternating_hands,one_row_change","than, hand, change, changes, hands, exchange, changed, chance, changing, mechanical"
108,hin,3192784848,0.0015217352140802494,RRR,R-index → R-middle → R-index,1 → 0 → 2,2,0,0.0,0,True,False,,False,3.1488,1.118,"separated_finger_reuse,two_row_changes","within, think, things, nothing, something, thing, anything, behind, everything, washington"
109,een,3150099353,0.0015013905858123485,LLR,L-middle → L-middle → R-index,0 → 0 → 2,1,0,0.0,1,False,False,,False,3.1796,1.118,"repeat_key_x1,one_row_change","been, between, seen, green, queen, nineteenth, fifteen, screen, eighteenth, eighteen"
110,ces,3146412304,0.0014996332759507542,LLL,L-middle → L-middle → L-ring,2 → 0 → 1,2,1,2.136,0,False,False,,False,2.1488,1.118,"same_finger_x1,two_row_changes","process, necessary, services, forces, success, resources, differences, places, circumstances, processes"
111,cou,3131814971,0.0014926759403596414,LRR,L-middle → R-ring → R-index,2 → 0 → 0,1,0,0.0,0,False,False,,False,3.1796,1.118,one_row_change,"could, country, course, court, account, countries, council, county, courts, accounts"
112,lat,3128928842,0.001491300362504958,RLL,R-ring → L-pinky → L-index,1 → 1 → 0,1,0,0.0,0,False,False,,False,1.25,1.25,one_row_change,"later, population, late, related, latter, relationship, relations, relation, relative, relatively"
113,tor,3117606678,0.0014859040278069953,LRL,L-index → R-ring → L-index,0 → 0 → 0,0,0,0.0,0,True,False,,True,3.3116,1.25,"separated_finger_reuse,alternating_hands,no_row_change","history, story, factors, historical, factor, stories, doctor, director, sector, store"
114,ese,3083065459,0.0014694410991124784,LLL,L-middle → L-ring → L-middle,0 → 1 → 0,2,0,0.0,0,True,False,,False,2.0616,1.0308,"separated_finger_reuse,two_row_changes","these, present, research, presence, presented, chinese, japanese, represented, represent, represents"
115,age,3079371068,0.0014676802899296101,LLL,L-pinky → L-index → L-middle,1 → 1 → 0,1,0,0.0,0,False,False,redirect,False,2.0308,1.0308,"redirect,one_row_change","age, language, management, average, stage, page, image, marriage, village, advantage"
116,ame,3063470381,0.001460101753796452,LRL,L-pinky → R-index → L-middle,1 → 2 → 0,2,0,0.0,0,False,False,,True,2.1488,1.118,"alternating_hands,two_row_changes","same, american, came, name, became, america, james, names, game, named"
117,rin,3061940657,0.0014593726614869336,LRR,L-index → R-middle → R-index,0 → 0 → 2,1,0,0.0,0,False,False,,False,3.1796,1.118,one_row_change,"during, bring, principle, principles, principal, spring, prince, doctrine, printed, hearing"
118,anc,3061152975,0.0014589972389345346,LRL,L-pinky → R-index → L-middle,1 → 2 → 2,1,0,0.0,0,False,False,,True,2.2361,1.118,"alternating_hands,one_row_change","france, importance, performance, distance, financial, instance, circumstances, ancient, appearance, balance"
