# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# words_per_target=12
# source=Google Books word list ∩ SUBTLEX-US
# order=concentration desc, then SUBTLEX-US frequency
target,kind,word,subtlex_freqcount,subtlex_cdcount,concentration,provisional
fr,transition,from,103992,8306,0.500,True
fr,transition,free,9054,4278,0.500,True
fr,transition,front,9259,4589,0.400,True
fr,transition,fresh,2780,1953,0.400,True
fr,transition,freak,1874,1198,0.400,True
fr,transition,friend,21384,6178,0.333,True
fr,transition,afraid,12631,4944,0.333,True
fr,transition,friends,15578,5484,0.286,True
fr,transition,freedom,1688,954,0.286,True
fr,transition,friendly,1328,986,0.250,True
fr,transition,boyfriend,3684,1829,0.222,True
fr,transition,girlfriend,3881,1946,0.200,True
gr,transition,grab,3614,2392,0.500,True
gr,transition,grow,3034,2064,0.500,True
gr,transition,great,41864,7462,0.400,True
gr,transition,group,3762,2097,0.400,True
gr,transition,green,3696,1908,0.400,True
gr,transition,agree,3298,2264,0.400,True
gr,transition,grand,3214,1614,0.400,True
gr,transition,angry,3008,1864,0.400,True
gr,transition,hungry,3931,2441,0.333,True
gr,transition,ground,3696,2265,0.333,True
gr,transition,program,2174,1178,0.286,True
gr,transition,greatest,2464,1598,0.250,True
br,transition,bring,16685,6140,0.400,True
br,transition,break,11275,5023,0.400,True
br,transition,broke,5355,3149,0.400,True
br,transition,brain,3928,1994,0.400,True
br,transition,broken,3634,2409,0.333,True
br,transition,bridge,2331,1046,0.333,True
br,transition,breath,2291,1603,0.333,True
br,transition,brother,14481,3795,0.286,True
br,transition,brought,8786,4666,0.286,True
br,transition,breathe,2474,1424,0.286,True
br,transition,brothers,2400,1271,0.250,True
br,transition,breakfast,3381,1966,0.222,True
mu,transition,mud,756,506,0.667,True
mu,transition,much,49636,8027,0.500,True
mu,transition,must,35661,7154,0.500,True
mu,transition,music,7734,2699,0.400,True
mu,transition,murder,5717,2046,0.333,True
mu,transition,museum,942,459,0.333,True
mu,transition,muscle,694,528,0.333,True
mu,transition,murders,747,414,0.286,True
mu,transition,musical,671,421,0.286,True
mu,transition,murdered,1967,1134,0.250,True
mu,transition,murderer,1355,729,0.250,True
mu,transition,community,1486,916,0.222,True
ny,transition,any,56068,8049,0.667,True
ny,transition,many,18331,6297,0.500,True
ny,transition,tiny,1643,1092,0.500,True
ny,transition,funny,11127,4659,0.400,True
ny,transition,anyone,13018,5562,0.333,True
ny,transition,anyway,12164,5348,0.333,True
ny,transition,anybody,11573,4863,0.286,True
ny,transition,anymore,9597,4514,0.286,True
ny,transition,company,7507,3283,0.286,True
ny,transition,anytime,1248,1031,0.286,True
ny,transition,anything,46270,7929,0.250,True
ny,transition,anywhere,4501,3133,0.250,True
ki,transition,kid,17299,4625,0.667,True
ki,transition,kind,30125,7317,0.500,True
ki,transition,kill,23081,5700,0.500,True
ki,transition,kids,15356,4510,0.500,True
ki,transition,killed,14792,4422,0.333,True
ki,transition,taking,12263,5641,0.333,True
ki,transition,making,11349,5422,0.333,True
ki,transition,talking,25385,6952,0.286,True
ki,transition,looking,22066,6841,0.286,True
ki,transition,working,12775,5370,0.286,True
ki,transition,kidding,6822,3698,0.286,True
ki,transition,thinking,14353,5707,0.250,True
um,transition,jump,3561,1973,0.500,True
um,transition,dumb,2395,1501,0.500,True
um,transition,dump,1470,1047,0.500,True
um,transition,human,6363,2931,0.400,True
um,transition,number,12288,4542,0.333,True
um,transition,summer,4012,1629,0.333,True
um,transition,assume,1707,1306,0.333,True
um,transition,jumped,1078,849,0.333,True
um,transition,museum,942,459,0.333,True
um,transition,dumped,915,670,0.333,True
um,transition,numbers,2020,1252,0.286,True
um,transition,circumstances,1170,938,0.154,True
ft,transition,left,24707,7001,0.500,True
ft,transition,gift,3290,1877,0.500,True
ft,transition,lift,1741,1264,0.500,True
ft,transition,soft,1633,1211,0.500,True
ft,transition,after,34812,7645,0.400,True
ft,transition,often,2925,2017,0.400,True
ft,transition,shift,1164,793,0.400,True
ft,transition,fifth,979,748,0.400,True
ft,transition,fifty,960,640,0.400,True
ft,transition,gifts,732,499,0.400,True
ft,transition,afternoon,4666,2597,0.222,True
ft,transition,afterwards,714,608,0.200,True
rg,transition,large,2114,1480,0.400,True
rg,transition,forget,14130,5661,0.333,True
rg,transition,forgot,5045,3217,0.333,True
rg,transition,charge,4559,2675,0.333,True
rg,transition,target,1936,945,0.333,True
rg,transition,energy,1678,995,0.333,True
rg,transition,forgive,3917,2209,0.286,True
rg,transition,surgery,1651,768,0.286,True
rg,transition,charges,1506,1000,0.286,True
rg,transition,gorgeous,1227,889,0.250,True
rg,transition,emergency,2776,1646,0.222,True
rg,transition,forgotten,1771,1295,0.222,True
my,transition,my,344899,8349,1.000,True
my,transition,army,4370,1506,0.500,True
my,transition,myth,352,250,0.500,True
my,transition,enemy,2474,1229,0.400,True
my,transition,dummy,500,334,0.400,True
my,transition,myself,17470,6328,0.333,True
my,transition,mystery,1171,837,0.286,True
my,transition,economy,296,217,0.286,True
my,transition,mysterious,765,612,0.200,True
ju,transition,just,242206,8338,0.500,True
ju,transition,jump,3561,1973,0.500,True
ju,transition,jury,2181,585,0.500,True
ju,transition,junk,784,570,0.500,True
ju,transition,judge,4063,1621,0.400,True
ju,transition,juice,1371,830,0.400,True
ju,transition,jungle,1151,486,0.333,True
ju,transition,jumped,1078,849,0.333,True
ju,transition,justice,1910,1053,0.286,True
ju,transition,jumping,728,585,0.286,True
ju,transition,injured,534,434,0.286,True
ju,transition,judgment,839,656,0.250,True
nu,transition,nut,797,551,0.667,True
nu,transition,nuts,2729,1712,0.500,True
nu,transition,nurse,2294,1099,0.400,True
nu,transition,minute,19252,6066,0.333,True
nu,transition,number,12288,4542,0.333,True
nu,transition,nurses,672,399,0.333,True
nu,transition,minutes,13924,5208,0.286,True
nu,transition,numbers,2020,1252,0.286,True
nu,transition,unusual,1210,931,0.286,True
nu,transition,nuclear,968,379,0.286,True
nu,transition,continue,2527,1755,0.250,True
nu,transition,continues,1089,680,0.222,True
hu,transition,huh,22350,5621,0.667,True
hu,transition,hurt,12564,5123,0.500,True
hu,transition,huge,2467,1629,0.500,True
hu,transition,hung,1436,990,0.500,True
hu,transition,hunt,1319,712,0.500,True
hu,transition,human,6363,2931,0.400,True
hu,transition,hurts,1907,1378,0.400,True
hu,transition,hungry,3931,2441,0.333,True
hu,transition,church,3553,1340,0.333,True
hu,transition,husband,9935,3377,0.286,True
hu,transition,hundred,4015,2138,0.286,True
hu,transition,hundreds,1108,896,0.250,True
rv,transition,serve,1935,1361,0.400,True
rv,transition,nerve,1171,834,0.400,True
rv,transition,served,1007,841,0.333,True
rv,transition,service,4076,2407,0.286,True
rv,transition,nervous,3425,2105,0.286,True
rv,transition,deserve,2230,1682,0.286,True
rv,transition,survive,1537,1108,0.286,True
rv,transition,services,1053,793,0.250,True
rv,transition,starving,865,720,0.250,True
rv,transition,deserves,808,700,0.250,True
rv,transition,interview,1505,815,0.222,True
rv,transition,surveillance,952,553,0.167,True
ws,transition,news,8399,3976,0.500,True
ws,transition,laws,868,592,0.500,True
ws,transition,cows,480,269,0.500,True
ws,transition,knows,12492,5479,0.400,True
ws,transition,shows,2117,1605,0.400,True
ws,transition,blows,793,635,0.400,True
ws,transition,grows,484,415,0.400,True
ws,transition,windows,1190,831,0.286,True
ws,transition,fellows,676,446,0.286,True
ws,transition,shadows,583,357,0.286,True
ws,transition,newspaper,1208,752,0.222,True
ws,transition,newspapers,585,435,0.200,True
rf,transition,surf,324,158,0.500,True
rf,transition,perfect,8091,3915,0.286,True
rf,transition,surface,930,543,0.286,True
rf,transition,perform,821,649,0.286,True
rf,transition,perfume,583,391,0.286,True
rf,transition,powerful,1791,1218,0.250,True
rf,transition,wonderful,8364,3362,0.222,True
rf,transition,perfectly,2206,1560,0.222,True
rf,transition,interfere,486,415,0.222,True
rf,transition,performed,373,321,0.222,True
rf,transition,performing,325,268,0.200,True
rf,transition,performance,1113,719,0.182,True
in,transition,in,498444,8372,1.000,True
in,transition,into,43074,7876,0.500,True
in,transition,find,42379,7687,0.500,True
in,transition,think,137261,8301,0.400,True
in,transition,going,108288,8238,0.400,True
in,transition,thing,55522,8058,0.400,True
in,transition,doing,52492,7954,0.400,True
in,transition,again,40428,7852,0.400,True
in,transition,things,35337,7487,0.333,True
in,transition,nothing,43534,7851,0.286,True
in,transition,anything,46270,7929,0.250,True
in,transition,something,76508,8231,0.222,True
on,transition,on,354742,8372,1.000,True
on,transition,one,156684,8346,0.667,True
on,transition,son,20949,5145,0.667,True
on,transition,only,55269,8118,0.500,True
on,transition,long,34433,7581,0.500,True
on,transition,done,24737,7025,0.500,True
on,transition,once,17589,6405,0.500,True
on,transition,money,32679,5647,0.400,True
on,transition,wrong,26678,7245,0.400,True
on,transition,alone,15735,5920,0.400,True
on,transition,someone,22752,6749,0.286,True
on,transition,tonight,21047,5748,0.286,True
ve,transition,have,314232,8363,0.500,True
ve,transition,over,67488,8171,0.500,True
ve,transition,very,63304,7863,0.500,True
ve,transition,give,59559,8088,0.500,True
ve,transition,love,56864,7377,0.500,True
ve,transition,even,44672,7931,0.500,True
ve,transition,ever,36170,7513,0.500,True
ve,transition,never,69490,8158,0.400,True
ve,transition,leave,28596,7185,0.400,True
ve,transition,every,28007,7209,0.400,True
ve,transition,believe,31882,7412,0.286,True
ve,transition,everything,33399,7368,0.200,True
om,transition,from,103992,8306,0.500,True
om,transition,some,88089,8269,0.500,True
om,transition,home,39491,7452,0.500,True
om,transition,room,22415,6251,0.500,True
om,transition,woman,22166,5925,0.400,True
om,transition,comes,11656,5304,0.400,True
om,transition,women,9978,3827,0.400,True
om,transition,coming,26878,7173,0.333,True
om,transition,someone,22752,6749,0.286,True
om,transition,somebody,17571,5814,0.250,True
om,transition,tomorrow,17134,5661,0.250,True
om,transition,something,76508,8231,0.222,True
no,transition,not,276673,8349,0.667,True
no,transition,now,163333,8350,0.667,True
no,transition,know,291780,8340,0.500,True
no,transition,none,5641,3522,0.500,True
no,transition,knows,12492,5479,0.400,True
no,transition,known,6300,3732,0.400,True
no,transition,honor,4912,1887,0.400,True
no,transition,enough,25568,7159,0.333,True
no,transition,normal,3589,2134,0.333,True
no,transition,nothing,43534,7851,0.286,True
no,transition,another,25970,7327,0.286,True
no,transition,afternoon,4666,2597,0.222,True
be,transition,be,293085,8363,1.000,True
be,transition,been,88573,8261,0.500,True
be,transition,best,20623,6673,0.500,True
be,transition,being,24781,7083,0.400,True
be,transition,before,40501,7914,0.333,True
be,transition,better,40494,7814,0.333,True
be,transition,number,12288,4542,0.333,True
be,transition,behind,9581,4729,0.333,True
be,transition,because,54622,7910,0.286,True
be,transition,believe,31882,7412,0.286,True
be,transition,remember,27666,7110,0.250,True
be,transition,beautiful,14266,4973,0.222,True
pe,transition,hope,16352,6123,0.500,True
pe,transition,open,16341,5847,0.500,True
pe,transition,speak,9546,4289,0.400,True
pe,transition,paper,5271,2626,0.400,True
pe,transition,people,56252,7889,0.333,True
pe,transition,happen,12968,5673,0.333,True
pe,transition,person,10857,4712,0.333,True
pe,transition,expect,5299,3306,0.333,True
pe,transition,perfect,8091,3915,0.286,True
pe,transition,special,7577,3885,0.286,True
pe,transition,happens,6996,4060,0.286,True
pe,transition,happened,24994,6952,0.250,True
mo,transition,more,66228,8177,0.500,True
mo,transition,move,21325,6041,0.500,True
mo,transition,most,17889,6134,0.500,True
mo,transition,money,32679,5647,0.400,True
mo,transition,movie,6271,2101,0.400,True
mo,transition,mother,24476,5556,0.333,True
mo,transition,almost,9857,4950,0.333,True
mo,transition,moment,9539,4391,0.333,True
mo,transition,months,8314,4025,0.333,True
mo,transition,morning,22389,6055,0.286,True
mo,transition,anymore,9597,4514,0.286,True
mo,transition,tomorrow,17134,5661,0.250,True
mi,transition,mind,24715,6870,0.500,True
mi,transition,mine,12800,5426,0.500,True
mi,transition,might,26334,7121,0.400,True
mi,transition,coming,26878,7173,0.333,True
mi,transition,minute,19252,6066,0.333,True
mi,transition,family,18067,5340,0.333,True
mi,transition,missed,4568,2924,0.333,True
mi,transition,middle,4549,2957,0.333,True
mi,transition,minutes,13924,5208,0.286,True
mi,transition,promise,7809,3874,0.286,True
mi,transition,million,6145,2528,0.286,True
mi,transition,mistake,5200,3121,0.286,True
ni,transition,nice,33125,7094,0.500,True
ni,transition,nine,3441,1969,0.500,True
ni,transition,night,44168,7381,0.400,True
ni,transition,finish,5045,3124,0.333,True
ni,transition,morning,22389,6055,0.286,True
ni,transition,tonight,21047,5748,0.286,True
ni,transition,running,8054,4268,0.286,True
ni,transition,evening,6155,2803,0.286,True
ni,transition,finished,4269,2777,0.250,True
ni,transition,happening,4618,2792,0.222,True
ni,transition,beginning,3219,2242,0.222,True
ni,transition,definitely,3848,2391,0.200,True
ry,transition,try,24314,7053,0.667,True
ry,transition,very,63304,7863,0.500,True
ry,transition,sorry,59566,7923,0.400,True
ry,transition,every,28007,7209,0.400,True
ry,transition,worry,14638,5727,0.400,True
ry,transition,story,11260,4265,0.400,True
ry,transition,marry,5322,2046,0.400,True
ry,transition,trying,22849,6841,0.333,True
ry,transition,country,8254,3298,0.286,True
ry,transition,everyone,12324,5106,0.250,True
ry,transition,everybody,17555,5691,0.222,True
ry,transition,everything,33399,7368,0.200,True
ly,transition,only,55269,8118,0.500,True
ly,transition,early,5510,3284,0.400,True
ly,transition,lying,4472,2733,0.400,True
ly,transition,really,76508,7956,0.333,True
ly,transition,family,18067,5340,0.333,True
ly,transition,lovely,4853,2473,0.333,True
ly,transition,exactly,12607,5481,0.286,True
ly,transition,finally,5989,3591,0.286,True
ly,transition,actually,16439,5486,0.250,True
ly,transition,probably,14323,5753,0.250,True
ly,transition,certainly,6067,3021,0.222,True
ly,transition,absolutely,5769,3291,0.200,True
pl,transition,play,18081,5343,0.500,True
pl,transition,plan,7432,3528,0.500,True
pl,transition,place,30736,7279,0.400,True
pl,transition,plane,4872,1691,0.400,True
pl,transition,people,56252,7889,0.333,True
pl,transition,please,56149,7837,0.333,True
pl,transition,couple,11394,4989,0.333,True
pl,transition,simple,4555,2861,0.333,True
pl,transition,playing,7515,3707,0.286,True
pl,transition,explain,5670,3386,0.286,True
pl,transition,pleasure,4118,2545,0.250,True
pl,transition,completely,4303,2679,0.200,True
im,transition,him,177710,8254,0.667,True
im,transition,time,99890,8308,0.500,True
im,transition,times,11221,5170,0.400,True
im,transition,crime,3633,1782,0.400,True
im,transition,simple,4555,2861,0.333,True
im,transition,victim,2434,1176,0.333,True
im,transition,himself,7168,3749,0.286,True
im,transition,imagine,4133,2727,0.286,True
im,transition,important,10587,4878,0.222,True
im,transition,sometimes,9129,4393,0.222,True
im,transition,impossible,3015,2060,0.200,True
im,transition,immediately,2446,1616,0.182,True
ab,transition,lab,2020,1007,0.667,True
ab,transition,cab,1826,961,0.667,True
ab,transition,baby,25978,5088,0.500,True
ab,transition,able,8155,4285,0.500,True
ab,transition,grab,3614,2392,0.500,True
ab,transition,babe,1814,991,0.500,True
ab,transition,about,185206,8321,0.400,True
ab,transition,table,5387,2889,0.400,True
ab,transition,above,2493,1778,0.400,True
ab,transition,probably,14323,5753,0.250,True
ab,transition,absolutely,5769,3291,0.200,True
ab,transition,comfortable,2408,1763,0.182,True
the,gesture,the,1501908,8388,1.000,True
the,gesture,they,209250,8332,0.750,True
the,gesture,them,90720,8162,0.750,True
the,gesture,then,75966,8255,0.750,True
the,gesture,there,221754,8355,0.600,True
the,gesture,these,46104,7850,0.600,True
the,gesture,other,37505,7738,0.600,True
the,gesture,their,33413,7190,0.600,True
the,gesture,father,28279,5446,0.500,True
the,gesture,mother,24476,5556,0.500,True
the,gesture,another,25970,7327,0.429,True
the,gesture,together,19553,6450,0.375,True
ing,gesture,going,108288,8238,0.600,True
ing,gesture,thing,55522,8058,0.600,True
ing,gesture,doing,52492,7954,0.600,True
ing,gesture,being,24781,7083,0.600,True
ing,gesture,things,35337,7487,0.500,True
ing,gesture,coming,26878,7173,0.500,True
ing,gesture,nothing,43534,7851,0.429,True
ing,gesture,talking,25385,6952,0.429,True
ing,gesture,getting,24719,7120,0.429,True
ing,gesture,anything,46270,7929,0.375,True
ing,gesture,something,76508,8231,0.333,True
ing,gesture,everything,33399,7368,0.300,True
and,gesture,and,682780,8379,1.000,True
and,gesture,hand,14262,5562,0.750,True
and,gesture,land,4494,2074,0.750,True
and,gesture,band,2724,1122,0.750,True
and,gesture,hands,12063,5056,0.600,True
and,gesture,stand,11536,4917,0.600,True
and,gesture,grand,3214,1614,0.600,True
and,gesture,handle,5529,3272,0.500,True
and,gesture,husband,9935,3377,0.429,True
and,gesture,standing,3994,2702,0.375,True
and,gesture,thousand,3534,1802,0.375,True
and,gesture,understand,24605,6811,0.300,True
ent,gesture,went,20987,6677,0.750,True
ent,gesture,sent,7038,3760,0.750,True
ent,gesture,spent,3574,2529,0.600,True
ent,gesture,moment,9539,4391,0.500,True
ent,gesture,entire,4070,2627,0.500,True
ent,gesture,parents,7177,2902,0.429,True
ent,gesture,present,4562,2622,0.429,True
ent,gesture,accident,4146,2180,0.375,True
ent,gesture,different,10686,4860,0.333,True
ent,gesture,gentlemen,7874,2943,0.333,True
ent,gesture,attention,5032,3000,0.333,True
ent,gesture,apartment,4235,1774,0.333,True
ion,gesture,action,3115,1857,0.500,True
ion,gesture,million,6145,2528,0.429,True
ion,gesture,station,4033,2099,0.429,True
ion,gesture,mention,3033,2211,0.429,True
ion,gesture,question,10116,4587,0.375,True
ion,gesture,position,3676,2191,0.375,True
ion,gesture,decision,2808,1810,0.375,True
ion,gesture,questions,6016,3169,0.333,True
ion,gesture,attention,5032,3000,0.333,True
ion,gesture,situation,4207,2505,0.333,True
ion,gesture,information,4557,2373,0.273,True
ion,gesture,relationship,3452,1870,0.250,True
com,gesture,com,1750,1241,1.000,True
com,gesture,comes,11656,5304,0.600,True
com,gesture,coming,26878,7173,0.500,True
com,gesture,become,5894,3286,0.500,True
com,gesture,common,2275,1652,0.500,True
com,gesture,welcome,9140,4499,0.429,True
com,gesture,company,7507,3283,0.429,True
com,gesture,command,2225,1020,0.429,True
com,gesture,computer,3011,1224,0.375,True
com,gesture,complete,2636,1866,0.375,True
com,gesture,completely,4303,2679,0.300,True
com,gesture,comfortable,2408,1763,0.273,True
are,gesture,are,265672,8362,1.000,True
are,gesture,care,24748,6945,0.750,True
are,gesture,area,3821,2159,0.750,True
are,gesture,dare,2826,1687,0.750,True
are,gesture,share,3545,2346,0.600,True
are,gesture,cares,2023,1555,0.600,True
are,gesture,aware,1818,1356,0.600,True
are,gesture,scared,6803,3316,0.500,True
are,gesture,career,2305,1506,0.500,True
are,gesture,parents,7177,2902,0.429,True
are,gesture,careful,5550,3256,0.429,True
are,gesture,prepared,1825,1390,0.375,True
ate,gesture,late,13756,5576,0.750,True
ate,gesture,hate,10944,4752,0.750,True
ate,gesture,date,7218,2987,0.750,True
ate,gesture,later,14889,5951,0.600,True
ate,gesture,water,11478,4127,0.600,True
ate,gesture,state,5500,2669,0.600,True
ate,gesture,lately,2459,1795,0.500,True
ate,gesture,private,3874,2257,0.429,True
ate,gesture,whatever,12584,5573,0.375,True
ate,gesture,greatest,2464,1598,0.375,True
ate,gesture,appreciate,4373,2885,0.300,True
ate,gesture,immediately,2446,1616,0.273,True
thi,gesture,this,406915,8360,0.750,True
thi,gesture,think,137261,8301,0.600,True
thi,gesture,thing,55522,8058,0.600,True
thi,gesture,third,3801,2351,0.600,True
thi,gesture,things,35337,7487,0.500,True
thi,gesture,thinks,5235,3274,0.500,True
thi,gesture,within,3017,1983,0.500,True
thi,gesture,nothing,43534,7851,0.429,True
thi,gesture,anything,46270,7929,0.375,True
thi,gesture,thinking,14353,5707,0.375,True
thi,gesture,something,76508,8231,0.333,True
thi,gesture,everything,33399,7368,0.300,True
rea,gesture,real,22583,6453,0.750,True
rea,gesture,read,12302,4733,0.750,True
rea,gesture,area,3821,2159,0.750,True
rea,gesture,great,41864,7462,0.600,True
rea,gesture,ready,19778,6398,0.600,True
rea,gesture,break,11275,5023,0.600,True
rea,gesture,dream,6798,2809,0.600,True
rea,gesture,really,76508,7956,0.500,True
rea,gesture,reason,9858,4828,0.500,True
rea,gesture,already,16246,6350,0.429,True
rea,gesture,realize,4032,2604,0.429,True
rea,gesture,breakfast,3381,1966,0.333,True
sta,gesture,stay,26298,6834,0.750,True
sta,gesture,star,4149,1821,0.750,True
sta,gesture,start,17345,6330,0.600,True
sta,gesture,stand,11536,4917,0.600,True
sta,gesture,state,5500,2669,0.600,True
sta,gesture,started,9566,4727,0.429,True
sta,gesture,mistake,5200,3121,0.429,True
sta,gesture,station,4033,2099,0.429,True
sta,gesture,standing,3994,2702,0.375,True
sta,gesture,upstairs,3607,2155,0.375,True
sta,gesture,starting,3558,2500,0.375,True
sta,gesture,understand,24605,6811,0.300,True
ear,gesture,hear,28323,7249,0.750,True
ear,gesture,year,14174,4981,0.750,True
ear,gesture,dear,11395,3448,0.750,True
ear,gesture,wear,5576,3127,0.750,True
ear,gesture,years,29003,6956,0.600,True
ear,gesture,heard,19775,6530,0.600,True
ear,gesture,heart,12453,4582,0.600,True
ear,gesture,clear,8763,4184,0.600,True
ear,gesture,learn,6047,3414,0.600,True
ear,gesture,early,5510,3284,0.600,True
ear,gesture,earth,5074,2339,0.600,True
ear,gesture,swear,4496,2581,0.600,True
his,gesture,his,108364,8186,1.000,True
his,gesture,this,406915,8360,0.750,True
his,gesture,history,4280,2416,0.429,True
his,gesture,whiskey,822,439,0.429,True
his,gesture,whistle,788,473,0.429,True
his,gesture,whisper,403,300,0.429,True
his,gesture,whispers,280,183,0.375,True
his,gesture,whistling,261,179,0.333,True
his,gesture,whispering,413,274,0.300,True
his,gesture,historical,269,189,0.300,True
his,gesture,sophisticated,346,304,0.231,True
ers,gesture,person,10857,4712,0.500,True
ers,gesture,others,5061,2916,0.500,True
ers,gesture,orders,3130,1551,0.500,True
ers,gesture,papers,2638,1469,0.500,True
ers,gesture,herself,2675,1822,0.429,True
ers,gesture,flowers,2427,1322,0.429,True
ers,gesture,numbers,2020,1252,0.429,True
ers,gesture,letters,1910,1033,0.429,True
ers,gesture,personal,4675,2828,0.375,True
ers,gesture,brothers,2400,1271,0.375,True
ers,gesture,understand,24605,6811,0.300,True
ers,gesture,conversation,2543,1789,0.250,True
est,gesture,best,20623,6673,0.750,True
est,gesture,rest,10861,5142,0.750,True
est,gesture,test,4288,2095,0.750,True
est,gesture,honest,3689,2331,0.500,True
est,gesture,arrest,3037,1691,0.500,True
est,gesture,question,10116,4587,0.375,True
est,gesture,interest,2598,1828,0.375,True
est,gesture,greatest,2464,1598,0.375,True
est,gesture,questions,6016,3169,0.333,True
est,gesture,yesterday,4935,3020,0.333,True
est,gesture,interested,4374,2669,0.300,True
est,gesture,interesting,4421,2753,0.273,True
ive,gesture,give,59559,8088,0.750,True
